trip_id,start_time,end_time,headway_secs,exact_times
weekend_U8510_U851002_0,06:30:00,18:25:00,2100,0
weekday_S0100_S010002_0,06:00:00,23:30:00,600,0
weekend_S0100_S010002_0,06:00:00,23:30:00,600,0
weekday_R0210_R021002_0,06:30:00,19:00:00,1800,0
weekday_T7570_T757002_0,06:00:00,09:00:00,2700,0
weekday_T7570_T757002_1,10:00:00,16:00:00,3600,0
weekday_T7570_T757002_2,16:45:00,19:00:00,2700,0
weekday_T7570_T757002_3,20:00:00,22:00:00,3600,0
weekday_T7570_T757002_4,23:30:00,23:40:00,3600,0
weekend_T7570_T757002_0,06:00:00,09:00:00,2700,0
weekend_T7570_T757002_1,10:00:00,16:00:00,3600,0
weekend_T7570_T757002_2,16:45:00,19:00:00,2700,0
weekend_T7570_T757002_3,20:15:00,21:15:00,3600,0
weekend_T7570_T757002_4,22:30:00,23:30:00,3600,0
weekday_S4050_S405002_0,06:00:00,06:40:00,1200,0
weekday_S4050_S405002_1,07:10:00,07:15:00,1800,0
weekday_S4050_S405002_2,07:30:00,22:00:00,1800,0
weekday_S4070_S407002_0,06:00:00,07:00:00,900,0
weekday_S4070_S407002_1,07:20:00,10:00:00,1200,0
weekday_S4070_S407002_2,10:15:00,16:00:00,900,0
weekday_S4070_S407002_3,16:20:00,22:00:00,1200,0
weekend_S4070_S407002_0,06:00:00,07:00:00,900,0
weekend_S4070_S407002_1,07:20:00,10:00:00,1200,0
weekend_S4070_S407002_2,10:15:00,16:00:00,900,0
weekend_S4070_S407002_3,16:20:00,22:00:00,1200,0
weekday_T7800_T780002_0,06:00:00,06:30:00,1800,0
weekday_T7800_T780002_1,07:00:00,07:20:00,1800,0
weekday_T7800_T780002_2,07:30:00,08:30:00,1800,0
weekday_T7800_T780002_3,09:00:00,11:50:00,2700,0
weekday_T7800_T780002_4,12:00:00,13:50:00,1800,0
weekday_T7800_T780002_5,14:00:00,16:50:00,2700,0
weekday_T7800_T780002_6,17:00:00,18:50:00,1800,0
weekday_T7800_T780002_7,19:00:00,20:20:00,5400,0
weekday_T7800_T780002_8,20:30:00,21:50:00,5400,0
weekday_T7800_T780002_9,22:00:00,23:30:00,5400,0
weekday_U8220_U822002_0,06:00:00,09:20:00,1200,0
weekday_U8220_U822002_1,09:55:00,15:10:00,2100,0
weekday_U8220_U822002_2,15:30:00,18:10:00,1200,0
weekday_U8220_U822002_3,18:35:00,19:00:00,1500,0
weekday_U8220_U822002_4,20:00:00,23:00:00,3600,0
weekend_T7910_T791002_0,06:00:00,06:30:00,1800,0
weekend_T7910_T791002_1,07:00:00,09:30:00,1800,0
weekend_T7910_T791002_2,10:00:00,13:00:00,1800,0
weekend_T7910_T791002_3,14:00:00,16:00:00,1800,0
weekend_T7910_T791002_4,16:30:00,16:40:00,1800,0
weekend_T7910_T791002_5,17:00:00,19:30:00,1800,0
weekend_T7910_T791002_6,20:30:00,23:30:00,3600,0
weekday_T7910_T791002_0,06:00:00,06:30:00,1800,0
weekday_T7910_T791002_1,07:00:00,09:30:00,1800,0
weekday_T7910_T791002_2,10:00:00,13:00:00,1800,0
weekday_T7910_T791002_3,14:00:00,16:00:00,1800,0
weekday_T7910_T791002_4,16:30:00,16:40:00,1800,0
weekday_T7910_T791002_5,17:00:00,18:10:00,2100,0
weekday_T7910_T791002_6,18:40:00,19:00:00,2100,0
weekday_T7910_T791002_7,19:20:00,19:40:00,1500,0
weekday_T7910_T791002_8,20:30:00,23:30:00,3600,0
weekday_T5710_T571002_0,06:00:00,06:50:00,3600,0
weekday_T5710_T571002_1,07:00:00,19:50:00,3600,0
weekday_T5710_T571002_2,20:00:00,23:20:00,3600,0
weekday_T5710_T571002_3,23:30:00,23:45:00,1800,0
weekend_T5710_T571002_0,06:00:00,06:50:00,3600,0
weekend_T5710_T571002_1,07:00:00,19:50:00,3600,0
weekend_T5710_T571002_2,20:00:00,23:20:00,3600,0
weekend_T5710_T571002_3,23:30:00,23:45:00,1800,0
weekday_T7880_T788002_0,06:00:00,10:00:00,1200,0
weekday_T7880_T788002_1,10:30:00,16:00:00,1800,0
weekday_T7880_T788002_2,16:20:00,16:40:00,1200,0
weekday_T7880_T788002_3,17:00:00,19:30:00,1800,0
weekday_T7880_T788002_4,20:15:00,20:30:00,2700,0
weekday_T7880_T788002_5,21:00:00,22:30:00,2700,0
weekday_T7880_T788002_6,23:30:00,23:40:00,3600,0
weekend_T7880_T788002_0,06:00:00,07:20:00,2400,0
weekend_T7880_T788002_1,07:40:00,08:20:00,1200,0
